ID,NAME,TYPE,COLOR,REINO ANIMAL
1,ELEFANTE AFRICANO,ÁFRICA,#ef7735,
2,LEÓN,ÁFRICA,#ef7735,
3,RINOCERONTE BLANCO,ÁFRICA,#ef7735,
4,JIRAFA,ÁFRICA,#ef7735,
5,HIPOPÓTAMO,ÁFRICA,#ef7735,
6,GUEPARDO,ÁFRICA,#ef7735,
7,CEBRA DE LAS LLANURAS,ÁFRICA,#ef7735,
8,COCODRILO DEL NILO,ÁFRICA,#ef7735,
9,GORILA DE MONTAÑA,ÁFRICA,#ef7735,
10,LÉMUR DE COLA ANILLADA ,ÁFRICA,#ef7735,
11,MAMBA NEGRA,ÁFRICA,#ef7735,
12,ÑU,ÁFRICA,#ef7735,
13,ORIX DE CUERNOS DE CIMITARRA,ÁFRICA,#ef7735,
14,AVESTRUZ,ÁFRICA,#ef7735,
15,ANTÍLOPE SABLE,ÁFRICA,#ef7735,
16,TIGRE DE BENGALA ,ASIA & OCEANÍA,#cd5db1,
17,PANDA GIGANTE ,ASIA & OCEANÍA,#cd5db1,
18,ORANGUTÁN DE BORNEO ,ASIA & OCEANÍA,#cd5db1,
19,RINOCERONTE DE SUMATRA ,ASIA & OCEANÍA,#cd5db1,
20,ELEFANTE ASIÁTICO ,ASIA & OCEANÍA,#cd5db1,
21,CAMELLO BACTRIANO ,ASIA & OCEANÍA,#cd5db1,
22,CANGURO ROJO ,ASIA & OCEANÍA,#cd5db1,
23,KOALA ,ASIA & OCEANÍA,#cd5db1,
24,ORNITORRINCO ,ASIA & OCEANÍA,#cd5db1,
25,DIABLO DE TASMANIA ,ASIA & OCEANÍA,#cd5db1,
26,KAKAPO ,ASIA & OCEANÍA,#cd5db1,
27,DRAGÓN DE KOMODO ,ASIA & OCEANÍA,#cd5db1,
28,DUGONGO ,ASIA & OCEANÍA,#cd5db1,
29,CASUARIO ,ASIA & OCEANÍA,#cd5db1,
30,LEOPARDO DE LAS NIEVES ,ASIA & OCEANÍA,#cd5db1,
31,LOBO IBÉRICO ,EUROPA,#71558e,
32,OSO PARDO ,EUROPA,#71558e,
33,CIERVO ROJO ,EUROPA,#71558e,
34,LINCE EUROPEO,EUROPA,#71558e,
35,CABRA MONTÉS ,EUROPA,#71558e,
36,ÁGUILA REAL,EUROPA,#71558e,
37,BISONTE EUROPEO ,EUROPA,#71558e,
38,FOCA GRIS ,EUROPA,#71558e,
39,ALCE ,EUROPA,#71558e,
40,LOBO GRIS ,EUROPA,#71558e,
41,NUTRIA EUROPEA,EUROPA,#71558e,
42,ZORRO ÁRTICO ,EUROPA,#71558e,
43,OSO POLAR ,EUROPA,#71558e,
44,MUFLÓN ,EUROPA,#71558e,
45,SARDINA EUROPEA ,EUROPA,#71558e,
46,BISONTE AMERICANO,NORTEAMÉRICA,#bd2649,
47,ÁGUILA CALVA ,NORTEAMÉRICA,#bd2649,
