ID,NAME,TYPE,COLOR,World Flags
1,HUNGARY,EUROPE,#71558e
2,ISRAEL,ASIA & OCEANIA,#cd5db1
3,AUSTRIA,EUROPE,#71558e
4,HONG-KONG,ASIA & OCEANIA,#cd5db1
5,PARAGUAY,SOUTH AMERICA,#ffac14
6,DENMARK,EUROPE,#71558e
7,FINLAND,EUROPE,#71558e
8,PALESTINE,ASIA & OCEANIA,#cd5db1
9,NEW-ZEALAND,ASIA & OCEANIA,#cd5db1
10,CROATIA,EUROPE,#71558e
11,IRELAND,EUROPE,#71558e
12,NORWAY,EUROPE,#71558e
13,SINGAPORE,ASIA & OCEANIA,#cd5db1
14,THE UNITED ARAB EMIRATES,ASIA & OCEANIA,#cd5db1
15,JAMAICA,NORTH AMERICA,#bd2649
16,RUSSIA,ASIA & OCEANIA,#cd5db1
17,TURKEY,ASIA & OCEANIA,#cd5db1
18,SPAIN,EUROPE,#71558e
19,CHINA,ASIA & OCEANIA,#cd5db1
20,INDIA,ASIA & OCEANIA,#cd5db1
21,UNITED STATES,NORTH AMERICA,#bd2649
22,BRAZIL,SOUTH AMERICA,#ffac14
23,MEXICO,NORTH AMERICA,#bd2649
24,JAPAN,ASIA & OCEANIA,#cd5db1
25,THE UNITED KINGDOM,EUROPE,#71558e
26,FRANCE,EUROPE,#71558e
27,ITALY,EUROPE,#71558e
28,SOUTH AFRICA,AFRICA,#ef7735
29,SOUTH KOREA,ASIA & OCEANIA,#cd5db1
30,GERMANY,EUROPE,#71558e
31,COLOMBIA,SOUTH AMERICA,#ffac14
32,EGYPT,AFRICA,#ef7735
33,ARGENTINA,SOUTH AMERICA,#ffac14
34,UKRAINE,EUROPE,#71558e
35,CANADA,NORTH AMERICA,#bd2649
36,VENEZUELA,SOUTH AMERICA,#ffac14
37,PERU,SOUTH AMERICA,#ffac14
38,EL SALVADOR,NORTH AMERICA,#bd2649
39,AUSTRALIA,ASIA & OCEANIA,#cd5db1
40,NIGER,AFRICA,#ef7735
41,ECUADOR,SOUTH AMERICA,#ffac14
42,CHILE,SOUTH AMERICA,#ffac14
43,BELGIUM,EUROPE,#71558e
44,CHAD,AFRICA,#ef7735
45,CUBA,NORTH AMERICA,#bd2649
46,BOLIVIA,SOUTH AMERICA,#ffac14
47,GREECE,EUROPE,#71558e
48,PORTUGAL,EUROPE,#71558e
49,SWEDEN,EUROPE,#71558e
50,SWITZERLAND,EUROPE,#71558e
51,THE NETHERLANDS,EUROPE,#71558e
52,MOROCCO,AFRICA,#ef7735
53,SUDAN,AFRICA,#ef7735
54,SOMALIA,AFRICA,#ef7735
55,SIERRA LEONE,AFRICA,#ef7735
56,TUNISIA,AFRICA,#ef7735
57,ZIMBABWE,AFRICA,#ef7735
58,SENEGAL,AFRICA,#ef7735
59,UGANDA,AFRICA,#ef7735
60,ANGOLA,AFRICA,#ef7735
61,ALGERIA,AFRICA,#ef7735
62,CAMEROON,AFRICA,#ef7735
63,BURKINA FASO,AFRICA,#ef7735
64,BOTSWANA,AFRICA,#ef7735
65,GHANA,AFRICA,#ef7735
66,GUINEA,AFRICA,#ef7735
67,IVORY COAST,AFRICA,#ef7735
68,KENYA,AFRICA,#ef7735
69,ETHIOPIA,AFRICA,#ef7735
70,MADAGASCAR,AFRICA,#ef7735
71,HONDURAS,NORTH AMERICA,#bd2649
72,GUATEMALA,NORTH AMERICA,#bd2649
73,PUERTO RICO,NORTH AMERICA,#bd2649
74,NICARAGUA,NORTH AMERICA,#bd2650
75,COSTA RICA,NORTH AMERICA,#bd2651
76,BARBADOS,NORTH AMERICA,#bd2652
77,ANTIGUA & BARBUDA,NORTH AMERICA,#bd2653
78,ARUBA,NORTH AMERICA,#bd2654
79,THE BAHAMAS,NORTH AMERICA,#bd2655
80,HAITI,NORTH AMERICA,#bd2656
81,GUYANA,SOUTH AMERICA,#ffac14
82,DOMINICAN REPUBLIC,SOUTH AMERICA,#ffac14
83,PANAMA,SOUTH AMERICA,#ffac14
84,SAINT VINCENT AND THE GRENADINES,SOUTH AMERICA,#ffac14
85,SAINT LUCIA,SOUTH AMERICA,#ffac14
86,SURINAME,SOUTH AMERICA,#ffac14
87,TRINIDAD & TOBAGO,SOUTH AMERICA,#ffac14
88,URUGUAY,SOUTH AMERICA,#ffac14
