ID,NAME,TYPE,COLOR,Banderas del Mundo
1,HUNGRÍA,EUROPA,#71558e
2,ISRAEL,ASIA Y OCEANIA,#cd5db1
3,AUSTRIA,EUROPA,#71558e
4,HONG-KONG,ASIA Y OCEANIA,#cd5db1
5,PARAGUAY,AMÉRICA DEL SUR,#ffac14
6,DINAMARCA,EUROPA,#71558e
7,FINLANDIA,EUROPA,#71558e
8,PALESTINA,ASIA Y OCEANIA,#cd5db1
9,NUEVA ZELANDA,ASIA Y OCEANIA,#cd5db1
10,CROACIA,EUROPA,#71558e
11,IRLANDA,EUROPA,#71558e
12,NORUEGA,EUROPA,#71558e
13,SINGAPUR,ASIA Y OCEANIA,#cd5db1
14,EMIRATOS ARABES,ASIA Y OCEANIA,#cd5db1
15,JAMAICA,AMÉRICA DEL NORTE,#bd2649
16,RUSIA,ASIA Y OCEANIA,#cd5db1
17,TURQUÍA,ASIA Y OCEANIA,#cd5db1
18,ESPAÑA,EUROPA,#71558e
19,CHINA,ASIA Y OCEANIA,#cd5db1
20,INDIA,ASIA Y OCEANIA,#cd5db1
21,ESTADOS UNIDOS,AMÉRICA DEL NORTE,#bd2649
22,BRASIL,AMÉRICA DEL SUR,#ffac14
23,MEXICO,AMÉRICA DEL NORTE,#bd2649
24,JAPÓN,ASIA Y OCEANIA,#cd5db1
25,REINO UNIDO,EUROPA,#71558e
26,FRANCIA,EUROPA,#71558e
27,ITALIA,EUROPA,#71558e
28,SUDÁFRICA,ÁFRICA,#ef7735
29,KOREA DEL SUR,ASIA Y OCEANIA,#cd5db1
30,ALEMANIA,EUROPA,#71558e
31,COLOMBIA,AMÉRICA DEL SUR,#ffac14
32,EGIPTO,ÁFRICA,#ef7735
33,ARGENTINA,AMÉRICA DEL SUR,#ffac14
34,UCRANIA,EUROPA,#71558e
35,CANADÁ,AMÉRICA DEL NORTE,#bd2649
36,VENEZUELA,AMÉRICA DEL SUR,#ffac14
37,PERÚ,AMÉRICA DEL SUR,#ffac14
38,EL SALVADOR,AMÉRICA DEL NORTE,#bd2649
39,AUSTRALIA,ASIA Y OCEANIA,#cd5db1
40,NÍGER,ÁFRICA,#ef7735
41,ECUADOR,AMÉRICA DEL SUR,#ffac14
42,CHILE,AMÉRICA DEL SUR,#ffac14
43,BÉLGICA,EUROPA,#71558e
44,CHAD,ÁFRICA,#ef7735
45,CUBA,AMÉRICA DEL NORTE,#bd2649
46,BOLIVIA,AMÉRICA DEL SUR,#ffac14
47,GRECIA,EUROPA,#71558e
48,PORTUGAL,EUROPA,#71558e
49,SUECIA,EUROPA,#71558e
50,SUIZA,EUROPA,#71558e
51,PAÍSES BAJOS,EUROPA,#71558e
52,MARRUECOS,ÁFRICA,#ef7735
53,SUDÁN,ÁFRICA,#ef7735
54,SOMALIA,ÁFRICA,#ef7735
55,SIERRA LEONA,ÁFRICA,#ef7735
56,TÚNEZ,ÁFRICA,#ef7735
57,ZIMBABUE,ÁFRICA,#ef7735
58,SENEGAL,ÁFRICA,#ef7735
59,UGANDA,ÁFRICA,#ef7735
60,ANGOLA,ÁFRICA,#ef7735
61,ARGELIA,ÁFRICA,#ef7735
62,CAMERÚN,ÁFRICA,#ef7735
63,BURKINA FASO,ÁFRICA,#ef7735
64,BOTSWANA,ÁFRICA,#ef7735
65,GHANA,ÁFRICA,#ef7735
66,GUINEA,ÁFRICA,#ef7735
67,COSTA DE MARFÍL,ÁFRICA,#ef7735
68,KENIA,ÁFRICA,#ef7735
69,ETIOPÍA,ÁFRICA,#ef7735
70,MADAGASCAR,ÁFRICA,#ef7735
71,HONDURAS,AMÉRICA DEL NORTE,#bd2649
72,GUATEMALA,AMÉRICA DEL NORTE,#bd2649
73,PUERTO RICO,AMÉRICA DEL NORTE,#bd2649
74,NICARAGUA,AMÉRICA DEL NORTE,#bd2650
75,COSTA RICA,AMÉRICA DEL NORTE,#bd2651
76,BARBADOS,AMÉRICA DEL NORTE,#bd2652
77,ANTIGUA Y BARBUDA,AMÉRICA DEL NORTE,#bd2653
78,ARUBA,AMÉRICA DEL NORTE,#bd2654
79,BAHAMAS,AMÉRICA DEL NORTE,#bd2655
80,HAITÍ,AMÉRICA DEL NORTE,#bd2656
81,GUYANA,AMÉRICA DEL SUR,#ffac14
82,REPÚBLICA DOMINICANA,AMÉRICA DEL SUR,#ffac14
83,PANAMÁ,AMÉRICA DEL SUR,#ffac14
84,SAN VICENTE Y LAS GRANADINAS,AMÉRICA DEL SUR,#ffac14
85,SANTA LUCÍA,AMÉRICA DEL SUR,#ffac14
86,SURINAM,AMÉRICA DEL SUR,#ffac14
87,TRINIDAD Y TOBAGO,AMÉRICA DEL SUR,#ffac14
88,URUGUAY,AMÉRICA DEL SUR,#ffac14
